2011 output area,All categories: General health,Very good health,Good health,Fair health,Bad health,Very bad health
E00056750,279,119,100,44,13,3
E00056751,296,166,103,20,5,2
E00056752,407,203,150,43,8,3
E00056753,246,54,87,74,22,9
E00056754,272,138,106,24,1,3
E00056755,312,129,118,45,16,4
E00056756,371,164,111,59,27,10
E00056757,292,154,103,22,12,1
E00056758,342,185,116,34,4,3
E00056759,255,140,94,14,5,2
E00056760,278,126,111,34,6,1
E00056761,257,156,67,27,5,2
E00056762,482,257,173,46,2,4
E00056763,336,191,112,31,1,1
E00056764,371,232,113,17,6,3
E00056765,342,165,141,28,6,2
E00056766,270,113,98,46,11,2
E00056767,259,106,101,38,12,2
E00056768,271,128,87,42,8,6
E00056769,297,122,126,30,15,4
E00056770,303,139,112,37,11,4
E00056771,281,99,130,36,13,3
E00056772,356,199,112,35,5,5
E00056773,310,182,91,32,4,1
E00056774,177,67,70,28,12,0
E00056775,279,148,89,35,4,3
E00056776,295,114,99,64,17,1
E00056777,261,112,103,30,13,3
E00056778,106,68,23,15,0,0
E00056779,330,149,135,40,6,0
E00056780,154,71,56,22,4,1
E00056781,314,155,117,35,4,3
E00056782,284,131,95,41,13,4
E00056783,299,162,109,22,5,1
E00056784,235,124,90,17,3,1
E00056786,270,108,99,50,12,1
E00056787,203,96,65,31,8,3
E00056788,266,115,99,35,10,7
E00056789,326,114,108,72,24,8
E00056790,405,177,140,74,13,1
E00056792,331,146,128,38,12,7
E00056793,304,177,97,24,3,3
E00056794,291,164,88,33,5,1
E00056795,294,129,82,37,32,14
E00056796,256,104,99,38,12,3
E00056797,262,155,73,30,3,1
E00056798,229,122,70,24,12,1
E00056799,284,136,103,29,12,4
E00056800,289,101,69,82,29,8
E00056801,254,144,87,19,3,1
E00056802,324,185,105,29,3,2
E00056803,275,118,106,40,10,1
E00056804,301,193,80,22,5,1
E00056805,318,115,97,74,26,6
E00056806,239,69,84,53,24,9
E00056807,285,177,79,23,5,1
E00056808,258,130,93,26,8,1
E00056809,270,121,88,35,18,8
E00056810,259,148,86,19,4,2
E00056811,360,205,127,22,6,0
E00056812,299,136,97,46,13,7
E00056813,310,196,87,19,6,2
E00056814,258,122,92,31,11,2
E00056815,296,173,101,21,1,0
E00056816,311,115,106,65,20,5
E00056817,310,135,127,39,7,2
E00056818,196,98,74,20,3,1
